simulation,initial_mass,final_mass,velocity
cc_na_kb_rt_mm_Staphylococcus_arlettae_99_b,1e-8,1e-8,0
cc_na_kb_rt_mm_Staphylococcus_shinii_154_a,1e-8,1e-8,0
cc_na_kb_rt_na_Bacillus_altitudinis_23_x,1e-8,1e-8,0
cc_na_kb_rt_na_Bacillus_atrophaeus_90_x,1e-8,1e-8,0
cc_na_kb_rt_na_Bacillus_infantis_161_d,1e-8,1e-8,0
cc_na_kb_rt_na_Bacillus_thuringiensis_111_x,1e-8,1e-8,0
cc_na_kb_rt_na_Metabacillus_indicus_450_x,1e-8,1e-8,0
cc_na_kb_rt_na_Micrococcus_luteus_149_a,1e-8,1e-8,0
cc_na_kb_rt_na_Priestia_megaterium_447_x,1e-8,1e-8,0
cc_na_kb_rt_na_Staphylococcus_arlettae_99_b,1e-8,1e-8,0
cc_na_kb_rt_na_Staphylococcus_shinii_154_a,1e-8,1e-8,0
cc_pk_cv_lb_Bacillus_altitudinis_23_x,1e-8,1e-8,0
cc_pk_cv_lb_Bacillus_atrophaeus_90_x,1e-8,1.0007536347e-8,7.536346999998965e-16
cc_pk_cv_lb_Bacillus_infantis_161_d,1e-8,1.0462420601e-8,4.624206009999997e-14
cc_pk_cv_lb_Bacillus_thuringiensis_111_x,1e-8,1.0065805201e-8,6.580520099999966e-15
cc_pk_cv_lb_Corynebacterium_sp_29_x,1e-8,1e-8,0
cc_pk_cv_lb_Metabacillus_indicus_450_x,1e-8,1.0029004269e-8,2.900426899999985e-15
cc_pk_cv_lb_Priestia_megaterium_447_x,1e-8,1.0007601682e-8,7.601682000000187e-16
cc_pk_cv_lb_Staphylococcus_arlettae_99_b,1e-8,1.0017372857e-8,1.7372856999999381e-15
cc_pk_cv_lb_Staphylococcus_shinii_154_a,1e-8,1e-8,0
cc_pk_cv_lb_mm_Bacillus_altitudinis_23_x,1e-8,1.0026588735e-8,2.6588734999999025e-15
cc_pk_cv_lb_mm_Bacillus_infantis_161_d,1e-8,1.0462420866e-8,4.6242086599999947e-14
cc_pk_cv_lb_mm_Bacillus_thuringiensis_111_x,1e-8,1.0065805201e-8,6.580520099999966e-15
cc_pk_cv_lb_mm_Corynebacterium_sp_29_x,1e-8,1.0125685374e-8,1.2568537399999901e-14
cc_pk_cv_lb_mm_Micrococcus_luteus_149_a,1e-8,1.0369175216e-8,3.691752160000002e-14
cc_pk_cv_lb_mm_Staphylococcus_arlettae_99_b,1e-8,1.0017372857e-8,1.7372856999999381e-15
cc_pk_cv_lb_mm_Staphylococcus_shinii_154_a,1e-8,1e-8,0
cc_pk_cv_mm_Bacillus_altitudinis_23_x,1e-8,1.0026588735e-8,2.6588734999999025e-15
cc_pk_cv_mm_Bacillus_atrophaeus_90_x,1e-8,1.0007536337e-8,7.536336999999126e-16
cc_pk_cv_mm_Bacillus_infantis_161_d,1e-8,1.0462420562e-8,4.6242056200000047e-14
cc_pk_cv_mm_Bacillus_thuringiensis_111_x,1e-8,1.00658052e-8,6.580519999999951e-15
cc_pk_cv_mm_Corynebacterium_sp_29_x,1e-8,1.0125685379e-8,1.2568537899999975e-14
cc_pk_cv_mm_Metabacillus_indicus_450_x,1e-8,1.002900427e-8,2.900427e-15
cc_pk_cv_mm_Micrococcus_luteus_149_a,1e-8,1.0369156533e-8,3.6915653300000005e-14
cc_pk_cv_mm_Priestia_megaterium_447_x,1e-8,1.0007601682e-8,7.601682000000187e-16
cc_pk_cv_mm_Staphylococcus_arlettae_99_b,1e-8,1.0017312845e-8,1.7312844999999972e-15
cc_pk_cv_mm_Staphylococcus_shinii_154_a,1e-8,1e-8,0
cc_pk_cv_na_Bacillus_altitudinis_23_x,1e-8,1e-8,0
cc_pk_cv_na_Bacillus_atrophaeus_90_x,1e-8,1e-8,0
cc_pk_cv_na_Bacillus_infantis_161_d,1e-8,1e-8,0
cc_pk_cv_na_Bacillus_thuringiensis_111_x,1e-8,1e-8,0
cc_pk_cv_na_Corynebacterium_sp_29_x,1e-8,1e-8,0
cc_pk_cv_na_Metabacillus_indicus_450_x,1e-8,1.002900426e-8,2.900426000000016e-15
cc_pk_cv_na_Priestia_megaterium_447_x,1e-8,1e-8,0
cc_pk_cv_na_Staphylococcus_arlettae_99_b,1e-8,1e-8,0
